;1957-1959;1960-1969;1970-1979;1980-1989;1990;1991;1992;1993;1994 1995;1996;TOTAL
# NASA Launches By Vehicle
# history.nasa.gov/pocketstats/sect%20B/NLbV.pdf
Atlas;0;7;0;0;0;0;0;0;0;0;0;7
Atlas Agena;0;29;0;0;0;0;0;0;0;0;0;29
Atlas E/F;0;0;3;6;0;1;0;1;2;3;1;17
Atlas Centaur;0;17;27;16;1;0;0;1;0;0;0;61
Atlas II S/A;0;0;0;0;0;0;0;1;0;4;3;8
Delta;0;49;74;31;0;0;2;1;2;3;4 166
Juno II;3;2;0;0;0;0;0;0;0;0;0;5
Saturn I;0;6;0;0;0;0;0;0;0;0;0;6
Saturn IB;0;3;4;0;0;0;0;0;0;0;0;7
Saturn V;0;7;6;0;0;0;0;0;0;0;0;13
Scout;0;24;28;11;1;1;2;1;0;0;0;68
Shuttle;0;0;0;31;6;6;8;7;7;7;7;79
Thor Able;2;2;0;0;0;0;0;0;0;0;0;4
Thor Agena;0;10;2;0;0;0;0;0;0;0;0;12
Thor Delta;0;20;0;1;0;0;0;0;0;0;0;21
Titan II;0;11;0;0;0;0;0;0;0;0;0;11
Titan III;0;0;0;0;0;0;1;0;0;0;0;1
Titan Centaur;0;0;7;0;0;0;0;0;0;0;0;7
Vanguard;2;0;0;0;0;0;0;0;0;0;0;2
TOTAL;7;181;151;96;8;8;13;12;11;17;15;525;
