;1957-1959;1960-1969;1970-1979;1980-1989;1990;1991;1992;1993;1994;1995;1996;TOTAL
# Summary of Announced Launches
# https://history.nasa.gov/pocketstats/sect%20B/SoAL.pdf
Worldwide Launches
Australia;0;1;0;0;0;0;0;0;0;0;0;1
CIS(USSR);6;378;866;931;75;59;54;49;48;45;25;2536
DOD;11;284;114;54;10;8;10;8;12;10;10;524
ESA;0;0;1;29;5;7;9;9;5;5;10;80
France;0;4;6;0;0;0;0;0;0;0;0;10
India;0;0;0;3;0;0;1;0;2;1;1;8
Israel;0;0;0;1;1;0;0;0;0;1;0;3
Japan;0;0;15;23;3;2;3;1;2;3;1;53
NASA;7;187;151;96;8;8;13;12;11;8;12;501
PRC;0;0;8;15;5;1;3;1;5;1;2;41
United Kingdom;0;0;1;0;0;0;0;0;0;0;0;1
US Commercial;0;0;0;1;9;1;2;3;4;4;12;24
TOTAL;24;854;1162;1155;116;86;95;83;89;78;73;3816

NASA Launches
NASA;7;149;57;37;66;11;11;10;9;9;312
Cooperative;0;13;17;2;1;0;1;1;1;1;3;40
DOD;0;2;9;17;1;1;1;0;0;0;0;31
USA;0;20;37;35;0;1;0;0;0;0;0;92
Foreign;0;3;31;5;0;0;0;0;0;0;0;39
TOTAL;7;187;151;96;8;8;13;12;11;10;12;514
