,Vehicle,Launches,Failures,LEO,LEO failures,>LEO,>LEO failures,Deep,Deep failures
0,Soyuz-U(Ikar/Fregat),7,0,7,0,0,0,0,0
1,Delta 2,7,0,2,0,3,0,2,0
2,STS,6,0,6,0,0,0,0,0
3,Ariane 4,6,0,0,0,6,0,0,0
4,Proton K/DM,5,0,0,0,5,0,0,0
5,Atlas IIA(S),4,0,1,0,3,0,0,0
6,Titan 4B,3,0,1,0,2,0,0,0
7,Zenit 3SL/DMSL,2,0,0,0,2,0,0,0
8,Molniya-M,2,0,0,0,2,0,0,0
9,Soyuz-FG,2,0,2,0,0,0,0,0
10,Tsyklon-3,2,0,2,0,0,0,0,0
11,Proton M/Briz M,1,0,0,0,1,0,0,0
12,H-2A,1,0,0,0,1,0,0,0
13,CZ-2F,1,0,1,0,0,0,0,0
14,Zenit 2,1,0,1,0,0,0,0,0
15,Tsyklon 2,1,0,1,0,0,0,0,0
16,Kosmos 3M,1,0,1,0,0,0,0,0
17,Start 1,1,0,1,0,0,0,0,0
18,PSLV,1,0,1,0,0,0,0,0
19,Athena 1,1,0,1,0,0,0,0,0
20,Ariane 5G,1,1,0,0,1,1,0,0
21,GSLV,0,1,0,0,0,1,0,0
22,Taurus 2110,0,1,0,1,0,0,0,0
