Year, Count
2021, 2
2020, 24
2019, 30
2018, 23
2017, 25
2016, 14
2015, 27
2014, 35
2013, 29
2012, 23
2011, 24
2010, 24
2009, 30
2008, 21
2007, 18
2006, 16
2005, 19
2004, 19
2003, 22
2002, 19
2001, 30
2000, 25
1999, 16
1998, 27
1997, 28
1996, 28
1995, 36
1994, 64
1993, 59
1992, 78
1991, 83
1990, 96
1989, 99
1988, 108
1987, 116
1986, 114
1985, 119
1984, 115
1983, 116
1982, 119
1981, 124
1980, 110
1979, 101
1978, 119
1977, 104
1976, 121
1975, 111
1974, 95
1973, 109
1972, 88
1971, 99
1970, 88
1969, 70
1968, 74
1967, 66
1966, 44
1965, 64
1964, 35
1963, 17
1962, 20
1961, 7
1960, 3
1959, 3
1958, 1
1957, 2
