Year, Count
2021, 272
2020, 967
2019, 361
2018, 190
2017, 287
2016, 105
2015, 104
2014, 95
2013, 80
2012, 33
2011, 28
2010, 35
2009, 38
2008, 24
2007, 46
2006, 36
2005, 21
2004, 21
2003, 28
2002, 31
2001, 34
2000, 55
1999, 81
1998, 91
1997, 89
1996, 40
1995, 40
1994, 35
1993, 31
1992, 29
1991, 31
1990, 40
1989, 25
1988, 19
1987, 10
1986, 11
1985, 30
1984, 32
1983, 26
1982, 20
1981, 20
1980, 16
1979, 18
1978, 37
1977, 25
1976, 34
1975, 33
1974, 21
1973, 28
1972, 39
1971, 52
1970, 37
1969, 66
1968, 64
1967, 89
1966, 100
1965, 97
1964, 71
1963, 55
1962, 57
1961, 31
1960, 17
1959, 11
1958, 7
